数据库：分省年度数据
指标：普通高中毕业生数(万人)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,5.77,5.78,5.81,5.57,5.83,6.23,7.01,7.85,7.84,7.80
天津市,5.84,6.11,6.12,6.23,6.02,6.60,7.06,7.52,7.22,6.99
河北省,35.24,36.20,40.45,42.37,42.79,42.66,46.90,48.23,47.22,45.06
山西省,28.36,27.35,28.61,28.53,27.01,25.94,25.14,25.88,23.17,22.22
内蒙古自治区,16.59,16.21,16.16,16.13,16.81,17.48,18.31,18.76,17.01,15.70
辽宁省,22.35,23.15,23.16,23.80,23.38,22.61,24.88,25.70,24.92,22.45
吉林省,13.99,15.55,15.71,15.43,15.53,15.22,16.88,16.84,16.43,14.64
黑龙江省,19.39,19.90,20.61,20.63,20.43,19.55,20.66,20.37,19.38,18.16
上海市,5.12,5.10,5.27,5.44,5.85,6.24,7.04,9.51,10.24,10.21
江苏省,36.88,39.67,42.59,44.48,46.61,48.64,51.31,49.91,47.58,44.97
浙江省,27.10,29.66,29.61,29.71,27.71,27.37,28.58,29.59,29.35,29.20
安徽省,43.30,42.94,41.67,41.28,42.42,44.38,44.92,43.75,39.65,33.21
福建省,20.81,22.73,23.18,22.56,22.63,24.03,24.90,24.22,23.40,20.18
江西省,28.74,27.70,24.09,23.31,25.11,26.25,27.91,28.68,26.65,25.70
山东省,56.89,54.32,50.94,48.29,50.18,54.69,59.08,64.86,64.55,62.22
河南省,61.05,60.28,63.13,64.01,66.55,70.43,70.17,74.98,65.10,57.36
湖北省,31.69,34.95,39.12,41.22,42.91,43.45,44.99,44.97,44.31,41.07
湖南省,33.50,32.04,31.67,31.01,32.56,36.18,41.57,43.00,40.87,37.85
广东省,72.67,72.87,72.37,68.85,63.09,56.76,56.90,53.49,48.00,42.99
广西壮族自治区,25.73,25.33,24.19,23.75,23.84,23.90,23.66,23.42,22.31,20.20
海南省,6.06,5.85,5.37,5.26,5.15,5.06,5.13,4.55,3.82,3.25
重庆市,22.36,22.12,21.41,20.36,18.97,16.95,16.14,15.69,14.42,14.14
四川省,49.78,50.49,48.55,47.81,45.26,45.00,44.97,45.67,43.99,41.41
贵州省,28.07,23.85,21.04,19.59,18.02,17.17,16.54,16.13,14.93,13.71
云南省,24.07,22.16,21.00,19.62,19.23,18.44,18.38,17.39,15.33,12.77
西藏自治区,1.81,1.62,1.47,1.33,1.32,1.22,1.33,1.44,1.23,0.99
陕西省,29.01,30.44,31.76,31.73,30.93,31.03,32.54,33.05,31.32,27.74
甘肃省,22.44,22.38,21.65,21.36,20.22,19.50,19.23,19.41,17.93,16.43
青海省,3.59,3.24,3.31,3.58,3.61,3.41,3.44,3.37,3.18,2.93
宁夏回族自治区,5.54,5.50,4.98,4.77,4.83,4.49,4.42,4.32,4.25,4.00
新疆维吾尔自治区,13.91,14.13,13.98,13.51,12.95,13.57,13.73,13.52,12.71,11.54
数据来源：国家统计局
